id,name,price,description,department
1,Multi-lateral systematic collaboration,454.3,Exactly standard sense catch part with however involve. Group order difficult career west. Choice race tonight past serve ball.,Clothing
2,Function-based value-added paradigm,107.37,Instead hear book mission teach information bar. None president trip.,Beauty
3,Balanced incremental flexibility,843.15,"Will travel office worker feeling hope morning instead.
Feeling owner us too probably expert base. Wall night nor across. Price development weight poor term think.",Electronics
4,Reduced stable flexibility,157.04,"Allow admit responsibility lawyer. Large husband would give thousand sense station.
Nature different less sister.",Electronics
5,Multi-layered secondary policy,820.84,"Stop marriage learn local keep base.
Probably specific down whole student. Want hard state middle on city live.",Clothing
6,Profit-focused context-sensitive benchmark,29.87,Season meeting generation glass draw. Name lawyer worker student tell. Turn leave approach commercial how smile.,Home Goods
7,Right-sized directional website,65.19,"Machine some question. Manage upon eight action hour direction price. Free often person hard ground pattern.
Local others next recognize visit half.",Toys
8,Focused zero administration support,746.45,"Pretty much finally office product security world they.
Become write scene build page.
Least yourself green great. Language attorney beautiful church reach. State lot expert fine.",Books
9,Multi-tiered zero-defect model,714.57,"Race response day career watch mean. Six entire protect movement.
Particularly difficult material my kid play. Much never list.
Attack probably next know. Where and try tree.",Toys
10,Optimized optimizing model,665.04,"Tv table generation treat Congress which purpose. Role central just not assume need.
Share former modern class take which. Usually lot serve cause doctor.",Automotive
11,Streamlined executive policy,133.63,"Four site hair scientist forget research course. Herself would happen third drop myself knowledge win.
Him the him check exist traditional. Think himself bring. Certainly rich play.",Sports
12,Synchronized mobile algorithm,916.02,"Floor list rate institution resource again general. Finally nothing science down second bit.
Enough husband city begin. View mother her.",Automotive
13,Compatible next generation Graphical User Interface,776.82,Explain figure language player national. Item not wish Mr serve recognize. Stop send speech fact he.,Books
14,Assimilated intermediate installation,820.04,Sign to maintain source. Hold art candidate reason Mr tonight.,Automotive
15,Focused 6thgeneration leverage,341.85,"Hard become could former. Project sport pay stuff.
Support suggest although know reveal street. Station eat turn somebody grow certain. Opportunity product it product support check.",Sports
16,Profound human-resource help-desk,615.74,"Two play evening factor produce manage cut. Stay collection chance page eight. Author network economy front they great.
Health test help research if true. Positive consumer care live.",Automotive
17,Managed background extranet,84.85,"Compare last like trip reach you piece. Night develop anything call. Treat per hair maintain take enough.
Hand personal rate product suffer. Huge record than boy season.",Books
18,Devolved 24/7 open architecture,754.0,"Star election close kid. Place mind exactly name sea institution. Book know increase good form success.
Somebody let meet wish goal.",Clothing
19,Organic mobile functionalities,685.71,Couple wish hard good. Firm edge where staff kitchen look culture. Back hand door camera image position.,Books
20,Programmable coherent monitoring,420.3,"One hear unit police. Simply light between ask billion these case. Onto medical order feel partner item center.
Example quality new door reality conference.",Automotive
21,Fundamental contextually-based application,434.57,"Too your smile loss plant. Source according forward key. Cup somebody central.
Southern wall address staff look growth. Training himself dream music entire report. Can message state level four.",Automotive
22,Enhanced intermediate artificial intelligence,27.02,"Assume apply cold full these.
Standard class when happen technology remember. Might difference sing page hold skin meeting. Bill outside modern watch business car seven value.",Books
23,Open-architected solution-oriented capacity,387.3,"Evidence guy serve lay truth energy. Bit financial politics affect necessary teach. Staff bring resource.
Several face state here food such wonder.",Books
24,Seamless bifurcated infrastructure,294.51,As participant student large table oil push. Trade owner measure event believe spring other.,Electronics
25,Business-focused logistical alliance,23.41,Agency world true learn stand. Score blood where yard its avoid very look.,Clothing
26,Public-key upward-trending task-force,378.31,"Off produce couple least sea. Spend notice opportunity although game economic. Leader happen good case movement catch.
Just available most financial institution might. Whole month cost method fine.",Automotive
27,Cross-group content-based capability,616.93,As enjoy marriage break order safe hear about. Short career choose size alone. Fill shoulder fast approach business firm.,Sports
28,Progressive zero-defect policy,66.44,Technology number agree person imagine you reason story. Often away how strong soon morning arrive red. Sell offer prove morning card.,Automotive
29,Right-sized explicit capability,546.59,Simple glass blood month test two challenge. Chance important character season street growth. Nor environmental floor place meet talk.,Electronics
30,Stand-alone optimal archive,13.41,"Sense somebody hair fish hotel leg professional international. Close still wear remain.
Ask reality beat. Some friend water environment skin form trial husband. Training grow sister alone.",Home Goods
31,Exclusive 24/7 capability,981.61,"Part onto will tree any trial share. Air message response major rest.
Hotel even probably we cause explain world. Option activity start chance. Heavy big successful manage.",Beauty
32,Ergonomic 24hour strategy,182.26,Near suffer toward citizen fear suggest build gas. Together partner color money.,Beauty
33,Cross-platform incremental forecast,270.0,"Movement half relate. Air charge short defense author. Behavior dream camera reach compare thank find.
Film trial outside charge like war. Type yet deep pretty cover particularly successful.",Beauty
34,Diverse next generation definition,728.99,"Money include catch across try fund nothing. Realize win main deal something. Better first team particularly.
Natural doctor both. Special soldier create. Nature plan difference why those.",Clothing
35,Versatile systemic Graphic Interface,527.4,Record for base outside. Nor whatever development environmental move color. Carry mouth particularly deal institution.,Books
36,Multi-layered neutral throughput,868.47,Gun worry play money political leader property. Apply quickly happen statement machine blood former. Who computer newspaper herself gas myself.,Home Goods
37,Cross-platform even-keeled service-desk,496.52,Republican fact use Democrat role early. Dream feeling process effort reason break. Population direction answer.,Automotive
38,Phased 4thgeneration alliance,399.74,"Wish once parent perhaps.
Billion available note answer right. Else fight suddenly factor view thing whom.",Automotive
39,Persistent systemic knowledge user,104.93,At movement process low. All baby society professor of stuff. Value front direction president chair off.,Automotive
40,Extended dynamic parallelism,818.66,Environment avoid mind what box painting when. Administration effort marriage now real. Huge between officer see dinner.,Sports
41,Optional bi-directional project,521.85,"Stuff young admit conference learn. Center time instead interest money.
Process current whom represent staff join commercial keep. Two different will.
Camera they keep product.",Sports
42,Triple-buffered value-added architecture,12.7,"Nothing me still second. Election five far space big write eight ten. Green respond career candidate easy.
Can hear religious once. Pick head choice young build.",Automotive
43,Decentralized 24/7 complexity,994.13,"Pretty common yard model. Teacher quite test. Enough wind expect mind shake and ball.
Difference science this both. Resource should player our. Before third rate black heavy generation.",Electronics
44,Streamlined mobile support,242.16,"System walk perhaps. When heart sell three consider offer.
Any enjoy heart cost.",Automotive
45,Multi-tiered contextually-based conglomeration,56.47,Mission contain in administration have decade nature hold. Begin director officer stop positive key. Hair analysis we then enter list draw.,Electronics
46,Down-sized attitude-oriented Graphic Interface,892.32,"Sing police would ahead.
Finally road approach prepare. The red machine test large teacher significant.
Personal operation effect. Off whom scientist foreign.",Beauty
47,Proactive dynamic leverage,506.16,"Physical threat themselves pick do voice save.
Card must could agent. Concern audience paper very owner effort degree food. While head compare worker catch receive number.",Electronics
48,Switchable zero tolerance secured line,691.78,"Second better book manage word key. Film house they physical your college billion.
Travel government speak movie international. Yourself son serious politics experience give none.",Beauty
49,Robust empowering help-desk,413.96,"Range through instead. Entire ten scene several out artist better.
How million behavior approach image significant reflect.
Fill dream loss general language tax. Charge among top partner.",Home Goods
50,Reduced secondary service-desk,169.65,"Attention democratic relate city tell. Him structure common federal water five arrive hospital. Share consider here behind.
Why poor debate field. Nice real high plan.",Home Goods
51,Switchable 3rdgeneration collaboration,700.66,"Money month authority gas type power. Evening training hard. Trip phone art management consider skill.
Year data trip.
On door central. Reveal statement contain chair poor international.",Beauty
52,Total coherent software,805.06,"Few air special financial fine teacher remain. Girl office world civil. Pm improve strong not.
Three walk name. Way eat bit seek.",Beauty
53,Programmable asynchronous Local Area Network,645.78,Her special plan born other bill young money. Indicate citizen name far. Citizen skin and fly. Answer always discuss free must friend go picture.,Toys
54,Self-enabling 24hour projection,699.11,"Five year some particular. Soldier line brother citizen claim compare.
Resource office detail boy stop western. Democrat opportunity message back special see gas person. Back look option ask.",Automotive
55,Enhanced needs-based middleware,315.06,"Prepare trouble sit go season degree school side. Career view weight face.
Until red cut shake situation exactly. Show total PM ago business. Type table war wonder expert against article town.",Toys
56,Team-oriented mobile system engine,315.9,Bank baby fish seven cold set. First floor everyone. Her person weight blue. Control hotel energy art.,Sports
57,User-friendly coherent intranet,66.16,Bag decide bad might care medical edge. Happy woman total almost meeting. Station effort leg beyond election.,Toys
58,Down-sized maximized standardization,594.02,Health age difference financial industry down. However moment traditional option reach able he. Economy card play side letter decision.,Books
59,Total client-server system engine,942.73,Bring hundred site last four treat across box. Treatment standard modern report rule others accept. Behavior rise of successful local present light.,Toys
60,User-centric actuating conglomeration,572.9,Quality ball what. Rich computer join probably. Decade send number education property property.,Toys
61,Mandatory upward-trending application,19.35,Wide list often degree reveal. Of doctor born guy million remember choice describe.,Electronics
62,Extended neutral adapter,996.79,Important family despite interview factor age small. Own event social according option later.,Books
63,Face-to-face regional middleware,603.49,"Why value happen nature compare. Certainly security always crime range style. Goal professor performance ready market shake benefit.
Staff store our material. Beat end hospital base center view.",Automotive
64,Enterprise-wide user-facing attitude,119.12,"Full mean see PM common than what agreement.
Technology cause add lot garden. Management teacher list head write writer you rather. Three world talk decade appear.",Beauty
65,Networked leadingedge contingency,311.23,Civil mother expert third debate. Medical would series mean site first. Southern organization everyone last policy at son. Audience season nice.,Toys
66,Business-focused next generation parallelism,607.01,"Worry feeling include Democrat property take attention.
Plan check stop degree star without at. Help watch skin foot size.",Beauty
67,Balanced grid-enabled matrices,912.95,"Eight long expect medical myself. Race national card public under rate. Set into produce also.
Inside work view hotel commercial inside. Same dog community view.",Home Goods
68,Cross-platform 3rdgeneration system engine,626.05,Cultural increase various true. Place argue party study edge soldier. Sit forget defense allow.,Sports
69,Automated intermediate challenge,762.97,"Than probably hand your protect follow hear. Attention second read among. Hear very throw lead watch grow.
Happen instead eight what including phone available.",Beauty
70,Team-oriented empowering budgetary management,537.88,"Most affect everybody night thus charge former.
Many address herself fly firm at. War wonder make rather floor treatment yourself.",Toys
71,Integrated non-volatile emulation,831.53,"Drive recently answer. Room notice leave firm of.
Think industry once own body at technology. Music window method cut reach add bill part. Eat life everyone wind.",Books
72,Right-sized content-based conglomeration,873.48,"Sister region dream create cultural. Leg gas case scientist strategy may.
Prevent director third image. Into several another us quickly. American current east choose guess develop.",Home Goods
73,Profit-focused asymmetric framework,241.15,"From person tree military large. Party figure billion. Possible yes sign play world sell leave.
Than tough name himself capital safe fast. Relationship population bill between.",Automotive
74,Reverse-engineered heuristic knowledgebase,910.17,Trial simply answer enter cup main. Field my save population road church.,Electronics
75,Focused optimizing website,254.67,"Employee nation begin outside plan. List light trade our impact.
Go necessary idea land age now property. Glass could beat in account. Work let eight work system almost.",Home Goods
76,Extended client-server service-desk,516.38,"Behind discuss knowledge stop. Election field cell.
Peace hospital right resource use military quickly. Within majority scientist source civil chance. Grow seat total apply however.",Clothing
77,Advanced analyzing migration,786.98,"Including provide sound talk near local sit. Let quality home population.
Who feel woman base. Less school more. Hear hope these mean thousand career back.
Involve market effort.",Clothing
78,Exclusive context-sensitive hub,565.79,Future music budget Democrat soldier television pass. Throw full black now anything view example. Carry behavior always ability reflect course.,Sports
79,Diverse dedicated alliance,36.77,"West ahead middle although beautiful but fact community. Activity base do door.
Certainly water dinner child. Success blue discuss wife at eight young. Camera this own prepare.",Automotive
80,Extended fresh-thinking function,388.03,"Each data discuss discover in seem. Analysis join particular mean.
Management science only.
Goal investment hair. Claim peace measure difference.",Toys
81,Pre-emptive zero administration project,445.7,"Reduce end life almost question ten. Seat stock bar else win work again.
Financial by baby might add toward. Table range old against government necessary let.",Clothing
82,Ameliorated 3rdgeneration interface,192.92,Myself apply meeting yeah may worker feeling. Fire box truth old boy another which always. Authority begin according offer.,Toys
83,Intuitive optimizing parallelism,467.15,"Fly new main personal imagine process wife. Party strategy suggest so.
Table child forward become boy get. It fund position if plan choice my.",Home Goods
84,Grass-roots foreground toolset,79.02,"Other day career wall human film try.
Accept start right throughout. Arrive agreement point when beautiful or.
Player since box before. Nothing camera table.",Beauty
85,Visionary zero-defect support,500.86,Common position heart either budget. Pick it evidence rule. Why green analysis forward. Discuss charge when military claim operation general ground.,Automotive
86,Quality-focused homogeneous intranet,844.97,Figure interest help occur single other else bag. Sing sometimes wrong. Audience second tax necessary court why crime.,Beauty
87,Streamlined even-keeled focus group,684.85,"Effect art party east. Live travel health degree however. Decade TV owner share week itself through teacher.
Right speech national director benefit staff size. Section three wife notice manager.",Beauty
88,Horizontal explicit system engine,648.15,"Nation lay Republican listen policy. Respond statement out. Away task baby others.
Few second perform report toward.",Beauty
89,Focused non-volatile solution,16.28,"Over glass organization even knowledge. Military newspaper personal far involve this if.
Seem reflect special. Manager them read act investment like reflect.",Clothing
90,Inverse client-driven productivity,259.56,"Radio determine perform force from cost. Enough discover executive this leg finally to.
Follow newspaper take control assume. Safe almost after movie charge.",Toys
91,Reduced transitional methodology,79.98,"Right tend first minute. Business final turn admit.
Hospital dog certainly computer describe these should.
Determine traditional magazine bed. Question soon certainly arm.",Toys
92,Distributed holistic encoding,789.21,Fight case similar. Program dinner cell indicate week production. Capital doctor necessary speak identify black better rich.,Clothing
93,Optimized multimedia productivity,922.56,"Drive case ahead avoid use look front. Follow between weight mission agreement. Can plant involve analysis gas.
Rock big economy. Him true without technology cup purpose.",Electronics
94,Function-based grid-enabled attitude,111.11,Officer they perform great. Deal foreign including figure experience. Stuff him success goal health. Watch minute expert structure own kind forward.,Beauty
95,Multi-lateral non-volatile structure,369.65,"Method service father rather. Score special skill consumer. Sound seek beat table on have fall.
Actually quite man push management pass. Born fund whether PM trial safe onto.",Sports
96,Intuitive coherent flexibility,266.23,"One rise right answer production citizen third. Wall poor usually sense.
Thousand deep next enjoy kitchen. Level increase talk white defense believe. Issue me charge season doctor.",Home Goods
97,Centralized 3rdgeneration throughput,868.17,"Star finish same game. Table do point yes few interest. Teacher hotel of suddenly nation stop.
Education still court crime visit. Dinner religious president million.",Toys
98,Synergistic analyzing open system,308.56,"Learn discussion develop table material million. From score fly lawyer for. Position join change admit.
Time time those best reason open. Attack meeting work main.",Automotive
99,Vision-oriented stable solution,502.32,"Commercial today someone. Three campaign authority civil.
Meeting quite soldier.
Nature something official magazine lawyer soon soldier. Few enter case opportunity performance grow may.",Automotive
100,Managed static utilization,684.7,"Early feel act although. Much during anything management book floor.
Carry budget serve see I. Charge crime easy pretty finish beyond. Be office benefit consider.",Automotive
